        jday         mon         day          yr name          type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           temp
          75           3          15        1988 hru71           hru        1.52371252       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          76           3          16        1988 hru71           hru        1.07423353       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          77           3          17        1988 hru71           hru       0.757350922       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          78           3          18        1988 hru71           hru       0.533948600       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          79           3          19        1988 hru71           hru       0.376449943       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          80           3          20        1988 hru71           hru       0.265413404       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          81           3          21        1988 hru71           hru       0.187132657       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          82           3          22        1988 hru71           hru       0.131944716       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          83           3          23        1988 hru71           hru        9.30372030E-02   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          84           3          24        1988 hru71           hru        6.56074136E-02   8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          85           3          25        1988 hru71           hru       0.771668017       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
          86           3          26        1988 hru71           hru       0.544042110       8.83675855E-10   5.48762724E-09   1.64628808E-08   5.48762724E-09   5.48762724E-09   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   8.83675852E-07   0.00000000       0.00000000    
